Name,Model,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
Mercedes-Benz,200 C-Class CDI Classic New,Pune,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,0,11040.5
Tata,Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,0,2760.125
Audi,2.0 A4 Multitronic,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,0,14904.675
Honda,CVT City ZX,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,0,2042.4925
Mercedes-Benz,220d C C-Class,Coimbatore,2019,15369,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,1,39381.4635
Maruti,Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,0,8998.0075
Hyundai,1.4 Creta E Plus,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,1,11592.525
Porsche,Cayenne,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,0,16008.724999999999
Mahindra,4WD W8 XUV500,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,0,10654.0825
Hyundai,1.2 Sportz i10,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,0,3842.0939999999996
Nissan,D Terrano XV,Kochi,2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,1,7640.026
Honda,Brio VX,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,0,7132.163
Audi,2.0 A6 Design Edition,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,0,32569.475
Ford,1.4 Fiesta SXi TDCi,Jaipur,2008,111111,Diesel,Manual,First,17.8,1399.0,,5.0,0,2208.1
Toyota,2.0 Innova,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,0,4968.224999999999
Toyota,2.5 7 BSIV Innova STR VX,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,0,12972.5875
Hyundai,Santro XL Xing,Hyderabad,2005,87591,Petrol,Manual,First,0.0,1086.0,,5.0,0,1435.265
Maruti,Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,0,4140.1875
Tata,1.2T Revotron XE Zest,Pune,2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,1,4968.224999999999
Honda,Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,0,5321.521
Ford,Figo ZXI,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,0,3091.3399999999997
Maruti,Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,0,3433.5955
Honda,City E VTEC i,Delhi,2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,0,3588.1625
BMW,2003-2012 5 525d Series,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,0,15346.295
Hyundai,1.2 Sportz i10,Pune,2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,0,2484.1124999999997
Hyundai,Grand Sportz i10,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,0,6348.287499999999
Hyundai,Santro XO Xing,Hyderabad,2007,73745,Petrol,Manual,First,17.0,1086.0,,5.0,0,2318.505
Honda,Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,0,5520.25
Toyota,4x2 Fortuner Manual,Delhi,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,0,18216.825
Audi,2011-2015 35 A6 Premium,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,0,43698.299
Ford,1.5 DV5 Ecosport Optional Titanium,Delhi,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,0,6072.275
Mahindra,2WD W8 XUV500,Delhi,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,0,8942.804999999998
Honda,Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,0,3864.1749999999997
Volkswagen,1.2L Highline Polo,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,0,3080.2995
Hyundai,CRDi SX Transform Verna,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,0,3808.9725
Maruti,BS IV R VXI Wagon,Bangalore,2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,0,4913.0225
Volkswagen,Highline Polo,Delhi,2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,0,2925.7324999999996
Hyundai,1.4 CRDi Sportz i20,Pune,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,0,4195.389999999999
Hyundai,1.2 Asta i20,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,0,5133.8325
Datsun,GO Plus T,Pune,2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,1,4360.9975
Audi,3.0 A4 Premium Quattro,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,0,10819.69
Hyundai,2015-2017 Asta i20,Pune,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,0,2980.935
Maruti,5 Omni STD,Coimbatore,2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,0,2660.7605
Toyota,1.2 Etios G Liva,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,1,4305.795
Jaguar,3.0 Litre Luxury Premium S XF,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,0,26497.199999999997
Mahindra,2WD W8 XUV500,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,0,6348.287499999999
Hyundai,(O) 1.6 CRDI SX Verna,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,0,5796.2625
Toyota,2.8 Crysta Innova ZX,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,1,21252.962499999998
Maruti,5 AC Eeco Seater,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,1,4316.8355
Tata,Nano Twist XT,Bangalore,2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,0,2373.7075
BMW,3 320d Line Luxury Series,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,1,22909.0375
Honda,1.8 2006-2010 Civic V,Delhi,2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,0,3698.5675
Toyota,(Diesel) 2.5 7 Innova Seater VX,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,0,12265.995499999999
Volvo,Cross,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,0,22081.0
Nissan,CVT Micra XV,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,1,7231.527499999999
BMW,2010-2013 5 Series,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,0,7728.349999999999
Maruti,Brezza VDi Vitara,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,1,8280.375
Hyundai,Euro III Santro XL Xing eRLX,Mumbai,2005,102000,Petrol,Manual,Second,17.0,1086.0,,5.0,0,938.4424999999999
Mercedes-Benz,B CDI Class,Pune,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,0,18492.837499999998
Hyundai,1.6 CRDi Option SX Verna,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,1,12089.347499999998
Maruti,BS IV LXI R Wagon,Pune,2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,0,2704.9225
Tata,Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,0,3566.0815
Mahindra,Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,0,8556.387499999999
Mercedes-Benz,200 C-Class New,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,0,10322.867499999998
Maruti,CNG LXI R Wagon,Pune,2013,89900,CNG,Manual,First,37.24,998.0,58.16,5.0,0,3588.1625
Honda,2.4 CR-V,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,0,5796.2625
Volkswagen,1.5 Comfortline Vento,Pune,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,0,8004.362499999999
Maruti,Ciaz Plus VXi,Kochi,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,0,8247.253499999999
Mahindra,FWD W10 XUV500,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,0,14628.662499999999
Maruti,ABS Ritz VXI,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,0,6414.530499999999
Maruti,Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,1,2870.53
Mercedes-Benz,,Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,1,59618.7
Hyundai,1.6 Plus SX VTVT Verna,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,1,12696.574999999999
Maruti,Alto BSIII LXi,Chennai,2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,0,1766.48
BMW,1 Base Series,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,0,19011.740999999998
Honda,1.2 CVT Jazz V VTEC i,Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,0,6624.299999999999
Honda,1.8 2006-2010 Civic V,Delhi,2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,0,4360.9975
Mercedes-Benz,220 Avantgarde C C-Class CDI New,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,0,19817.6975
Honda,Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,0,4084.985
Maruti,Swift VXI,Kochi,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,0,5994.991499999999
Hyundai,Euro II Santro XO Xing eRLX,Kochi,2008,80759,Petrol,Manual,Third,17.0,1086.0,,5.0,0,1843.7634999999998
Toyota,3.0 Fortuner,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,0,14893.6345
Chevrolet,Beat LT Option,Pune,2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,0,3146.5425
Skoda,1.5 Elegance Rapid,Chennai,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,0,5244.2375
Maruti,1.4 Alpha Ciaz,Kochi,2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,0,10930.095
Audi,Coupe,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,1,40849.85
BMW,3 Line Luxury Series,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,1,29257.324999999997
Audi,177 2.0 A4 Bhp Plus Premium,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,0,25746.446
Maruti,Swift VDI,Chennai,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,0,6900.3125
Mercedes-Benz,2005 2013 Class S,Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,0,33121.5
Skoda,1.5 Elegance Plus Rapid,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,0,10885.932999999999
Skoda,2.0 CR Elegance Superb,Pune,2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,0,9384.425
Hyundai,EON Magna Plus,Kochi,2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,0,4670.1315
Volkswagen,1.2L Polo Trendline,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,0,3864.1749999999997
Datsun,GO,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,0,2760.125
Honda,Brio S,Kolkata,2013,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,0,2638.6795
Mercedes-Benz,B B180 Class,Delhi,2013,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,0,12420.5625
Honda,City DTEC V i,Kochi,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,0,7849.7955
Toyota,(Diesel) 2.5 7 G Innova Seater,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,0,12034.145
Maruti,Optional Swift VXI,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,0,6845.11
Mahindra,2WD W8 XUV500,Mumbai,2012,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,0,8721.995
Ford,1.5 Ambiente DV5 Ecosport,Kochi,2014,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,0,4879.901
Toyota,4x2 Fortuner Manual,Mumbai,2012,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,0,14904.675
Volkswagen,1.5 Alloy Highline Plus Vento,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,0,6900.3125
Ford,Figo Titanium,Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,0,2318.505
BMW,30d X5 xDrive,Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,0,49682.25
Mercedes-Benz,220 C C-Class CDI New Style,Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,0,37162.323
Honda,Brio V,Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,0,4029.7825
Hyundai,1.2 Magna i10,Delhi,2013,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,0,3036.1375
Mercedes-Benz,220 GLC,Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,0,46922.125
Hyundai,1.2 Asta Grand Kappa i10,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,1,7176.325
Audi,2.0 2011-2015 A6 Plus Premium,Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,0,20976.95
Volkswagen,Highline Vento,Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,0,4913.0225
Mini,Cooper D,Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,0,25393.149999999998
Hyundai,1.4 Asta CRDi i20,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,0,9218.8175
Audi,2.0 2011-2015 A6 Plus Premium,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,0,25337.9475
Chevrolet,Beat LT,Jaipur,2012,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,0,1656.0749999999998
Skoda,1.8 Elegance Superb TSI,Kochi,2012,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,0,7606.9045
Ford,1.4 EXI Edition Fiesta Limited TDCi,Chennai,2006,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,0,1600.8725
BMW,5 520d Line Luxury Series,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,1,36985.674999999996
Chevrolet,1.6 LS Magnum Optra,Jaipur,2007,118500,Petrol,Manual,First,12.9,1598.0,102.5,5.0,0,1380.0625
Volkswagen,1.2L Highline Polo,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,0,4637.01
Renault,110PS 8 RxZ Seater,Mumbai,2015,25000,Diesel,Manual,First,19.98,1461.0,108.5,8.0,0,7452.3375
Mercedes-Benz,Avantgrade CDI E-Class E250,Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,0,35329.6
Maruti,Alpha Baleno,Kochi,2017,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,1,8280.375
Hyundai,1.6 SX Verna,Delhi,2012,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,0,5078.629999999999
Hyundai,1.1 Magna i10,Kochi,2017,52340,Petrol,Manual,First,19.81,1086.0,68.05,5.0,0,4460.362
Mahindra,1.99 4WD Scorpio,Kochi,2016,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,0,11382.7555
Land,2.2L Dynamic Range Rover,Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,0,61561.827999999994
Ford,Figo ZXI,Chennai,2010,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,0,2870.53
Maruti,Ertiga ZDI,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,1,9384.425
Honda,1.5 City,Ahmedabad,2007,60006,Petrol,Manual,First,0.0,,,,0,3256.9475
Honda,Amaze S i-Dtech,Kolkata,2014,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,0,3864.1749999999997
Hyundai,Magna i10,Jaipur,2015,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,0,3919.3774999999996
Honda,Amaze S i-Dtech,Kolkata,2013,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,0,3588.1625
Skoda,Ambiente Laura,Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896.0,106.0,5.0,0,4968.224999999999
Renault,85PS Duster RxL,Delhi,2014,90000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,0,5906.6675
Mahindra,,Chennai,2017,29000,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,1,7176.325
Maruti,Brezza Dual Plus Tone Vitara ZDi,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,1,9936.449999999999
Hyundai,1.2 Asta Option i20,Kochi,2016,61012,Petrol,Manual,First,18.6,1197.0,81.83,5.0,0,6624.299999999999
Skoda,1.4 Ambiente Fabia MPI,Jaipur,2009,87459,Petrol,Manual,First,14.7,1390.0,85.0,5.0,0,3036.1375
Tata,GLX Indigo,Pune,2010,70500,Petrol,Manual,First,15.64,1193.0,64.1,5.0,0,1656.0749999999998
Audi,2012-2015 35 Plus Premium Q3 Quattro,Delhi,2015,64103,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,0,21970.594999999998
Skoda,1.8 Elegance Octavia TSI,Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,0,11040.5
Toyota,Etios GD Liva,Delhi,2014,104000,Diesel,Manual,First,23.59,1364.0,67.06,5.0,0,3312.1499999999996
Maruti,1.3 Swift VXi,Kolkata,2010,42001,Petrol,Manual,First,16.1,,,,0,2329.5454999999997
Mercedes-Benz,B B180 Class,Kochi,2014,37245,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,0,13204.438
Honda,Amaze S,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,1,3588.1625
Hyundai,1.6 SX Verna,Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,0,5244.2375
