Name,Version,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
Renault,85ps Duster Plus Rxl,Kochi,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,,6.34
Mercedes-Benz,220 Avantgare Be C C-class Cdi New,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,,28.0
BMW,3 320d Series,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,47.87 Lakh,18.55
Maruti,200 Cross Ddis S,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,,8.25
Audi,2011-2015 35 A6 Technology Tfsi,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,,23.5
Hyundai,1.2 I20 Magna,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,,1.87
Volkswagen,At Highline Vento,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,,2.85
Honda,City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,,4.25
Nissan,Micra Xv,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,,4.25
Maruti,2010-2014 Alto K10 Vxi,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,,2.75
Honda,I-vtec Vx Wrv,Kochi,2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,10.57 Lakh,9.9
Toyota,2.5 7-seater Innova V,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,,4.0
Renault,110ps Duster Pack Rxz,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,,7.75
Toyota,Altis Corolla G,Delhi,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,,6.75
Mahindra,Rexton Rx7 Ssangyong,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,,12.5
Audi,2.7 A6 Tdi,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,,11.5
Volkswagen,1.6 Highline Vento,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,12.33 Lakh,6.98
Maruti,Bsiii Lxi R Wagon,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,,1.85
Maruti,Brezza Plus Vitara Zdi,Kochi,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,11.12 Lakh,8.63
Mahindra,100 5str Aw G80 K6 Kuv Mfalcon,Delhi,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,,4.85
Mercedes-Benz,350 Cdi M-class Ml,Pune,2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,,28.0
Volkswagen,1.2l Polo Trendline,Chennai,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,,5.0
Maruti,Alto Lxi,Delhi,2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,,1.25
Tata,Lx Nano Se,Kochi,2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,,1.53
Mahindra,100 D75 Dual K8 Kuv Mfalcon Tone,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,,5.58
Hyundai,1.2 I20 Magna Optional,Kochi,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,,4.74
Hyundai,2.0 At Elantra Option Sx,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,23.64 Lakh,8.85
Toyota,Altis At Corolla G,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,,10.11
Hyundai,Crdi Elantra,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,,4.25
Toyota,2.7 Crysta Gx Innova Mt,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,18.64 Lakh,10.95
Hyundai,1.1 Crdi S Xcent,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,,3.85
Mahindra,Ac Crde Thar,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,,5.5
Audi,177 2.0 A4 Bhp Plus Premium Tdi,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,,21.43
Maruti,Ldi Swift,Delhi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,,4.25
Maruti,Bsiv Ldi Swift,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,,3.3
Maruti,Swift Vdi,Delhi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,,3.85
Hyundai,Grand I10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,,3.6
Volkswagen,1.6 2013-2015 Comfortline Vento,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,,3.99
Renault,Kwid Rxt,Kochi,2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,,3.3
Hyundai,Asta I10,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,,2.07
Nissan,At Slx X-trail,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,,7.75
Maruti,Bsiii Estilo Vxi Zen,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,,2.25
Toyota,2.4 8s Crysta Gx Innova Mt,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,19.34 Lakh,16.5
Ford,Figo Titanium,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,,2.75
Mercedes-Benz,200 Avantgarde C C-class Cgi New,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,,26.7
Mercedes-Benz,200 C-class Cdi Classic New,Pune,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,,10.0
Tata,Els Indica V2,Chennai,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,,2.5
Audi,2.0 A4 Multitronic Tdi,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,,13.5
Honda,City Cvt Zx,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,,1.85
Mercedes-Benz,220d C C-class Progressive,Coimbatore,2019,15369,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,49.14 Lakh,35.67
Maruti,Ertiga Shvs Vdi,Pune,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,,8.15
Hyundai,1.4 Creta E Plus,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,11.81 Lakh,10.5
Porsche,2009-2014 Cayenne Turbo,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,,14.5
Mahindra,4wd W8 Xuv500,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,,9.65
Hyundai,1.2 At I10 Sportz,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,,3.48
Nissan,D Pre Terrano Xv,Kochi,2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,16.65 Lakh,6.92
Honda,At Brio Vx,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,,6.46
Audi,2.0 A6 Design Edition Tdi,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,,29.5
Ford,1.4 Fiesta Sxi Tdci,Jaipur,2008,111111,Diesel,Manual,First,17.8,1399.0,,5.0,,2.0
Toyota,2.0 G1 Innova,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,,4.5
Toyota,2.5 7 Bsiv Innova Str Vx,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,,11.75
Hyundai,Santro Xing Xl,Hyderabad,2005,87591,Petrol,Manual,First,0.0,1086.0,,5.0,,1.3
Maruti,Swift Vdi,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,,3.75
Tata,1.2t Revotron Xe Zest,Pune,2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,6.67 Lakh,4.5
Honda,Amaze I-vtec Sx,Kochi,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,,4.82
Ford,Figo Zxi,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,,2.8
Maruti,Ritz Vdi,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,,3.11
Honda,City E I Vtec,Delhi,2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,,3.25
BMW,2003-2012 5 525d Series,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,,13.9
Hyundai,1.2 I10 Sportz,Pune,2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,,2.25
Hyundai,Grand I10 Sportz,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,,5.75
Hyundai,Santro Xing Xo,Hyderabad,2007,73745,Petrol,Manual,First,17.0,1086.0,,5.0,,2.1
Honda,Amaze I-vtec Sx,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,,5.0
Toyota,4x2 Fortuner Manual,Delhi,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,,16.5
Audi,2011-2015 35 A6 Premium Tdi,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,,39.58
Ford,1.5 Dv5 Ecosport Mt Optional Titanium,Delhi,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,,5.5
Mahindra,2wd W8 Xuv500,Delhi,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,,8.1
Honda,Amaze I-dtec Sx,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,,3.5
Volkswagen,1.2l Highline Polo,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,,2.79
Hyundai,Crdi Sx Transform Verna Vgt,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,,3.45
Maruti,Bs Iv R Vxi Wagon,Bangalore,2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,,4.45
Volkswagen,1.6l Highline Polo,Delhi,2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,,2.65
Hyundai,1.4 Crdi I20 Sportz,Pune,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,,3.8
Hyundai,1.2 Asta I20,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,,4.65
Datsun,Go Plus T,Pune,2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,6.45 Lakh,3.95
Audi,3.0 A4 Premium Quattro Tdi,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,,9.8
Hyundai,2015-2017 Asta I20,Pune,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,,2.7
Maruti,5 Omni Std Str,Coimbatore,2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,,2.41
Toyota,1.2 Etios G Liva,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,6.41 Lakh,3.9
Jaguar,3.0 Litre Luxury Premium S Xf,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,,24.0
Mahindra,2wd W8 Xuv500,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,,5.75
Hyundai,1.6 At Crdi Sx Verna,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,,5.25
Toyota,2.8 At Crysta Innova Zx,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,27 Lakh,19.25
Maruti,5 Ac Eeco Seater,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,5.13 Lakh,3.91
Tata,Nano Twist Xt,Bangalore,2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,,2.15
BMW,3 320d Line Luxury Series,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,54.43 Lakh,20.75
Honda,1.8 2006-2010 Civic Mt V,Delhi,2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,,3.35
Toyota,2.5 7 Innova Seater Vx,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,,11.11
Volvo,Country Cross D3 V40,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,,20.0
Nissan,Cvt Micra Xv,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,9.51 Lakh,6.55
BMW,2010-2013 5 525i Series,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,,7.0
Maruti,Brezza Vdi Vitara,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.96 Lakh,7.5
Hyundai,Erlx Euro Iii Santro Xing Xl,Mumbai,2005,102000,Petrol,Manual,Second,17.0,1086.0,,5.0,,0.85
Mercedes-Benz,B B200 Cdi Class,Pune,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,,16.75
Hyundai,1.6 Crdi Option Sx Verna,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,14.44 Lakh,10.95
Maruti,Bs Iv Lxi R Wagon,Pune,2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,,2.45
Tata,Nano Xta,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,,3.23
Mahindra,Scorpio Vlx,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,,7.75
Mercedes-Benz,200 At C-class K New,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,,9.35
Maruti,Cng Lxi R Wagon,Pune,2013,89900,CNG,Manual,First,37.24,998.0,58.16,5.0,,3.25
Honda,2.4 Cr-v Mt,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,,5.25
Volkswagen,1.5 At Comfortline Tdi Vento,Pune,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,,7.25
Maruti,Ciaz Plus Vxi,Kochi,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,,7.47
Mahindra,At Fwd W10 Xuv500,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,,13.25
Maruti,Abs Ritz Vxi,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,,5.81
Maruti,Alto K10 Vxi,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,4.53 Lakh,2.6
Mercedes-Benz,43 Amg Slc,Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,95.04 Lakh,54.0
Hyundai,1.6 At Plus Sx Verna Vtvt,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,13.49 Lakh,11.5
Maruti,Alto Bsiii Lxi,Chennai,2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,,1.6
BMW,1 118d Base Series,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,,17.22
Honda,1.2 Cvt I Jazz V Vtec,Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,,6.0
Honda,1.8 2006-2010 Civic Mt V,Delhi,2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,,3.95
Mercedes-Benz,220 Avantgarde C C-class Cdi New,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,,17.95
Honda,Amaze I-dtec Sx,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,,3.7
Maruti,Swift Vvt Vxi,Kochi,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,,5.43
Hyundai,Erlx Euro Ii Santro Xing Xo,Kochi,2008,80759,Petrol,Manual,Third,17.0,1086.0,,5.0,,1.67
Toyota,3.0 Fortuner,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,,13.49
Chevrolet,Beat Lt Option,Pune,2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,,2.85
Skoda,1.5 Elegance Rapid Tdi,Chennai,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,,4.75
Maruti,1.4 Ciaz,Kochi,2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,,9.9
Audi,Coupe Rs5,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,1.28 Cr,37.0
BMW,3 Line Luxury Series,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,60.88 Lakh,26.5
Audi,177 2.0 A4 Bhp Plus Premium Tdi,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,,23.32
Maruti,Swift Vdi,Chennai,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,,6.25
Mercedes-Benz,2005 2013 500 Class S,Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,,30.0
Skoda,1.5 At Black Elegance Package Plus Rapid Tdi,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,,9.86
Skoda,2.0 At Cr Elegance Superb Tdi,Pune,2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,,8.5
Hyundai,Eon Magna Plus,Kochi,2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,,4.23
Volkswagen,1.2l Polo Trendline,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,,3.5
Datsun,Go Nxt,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,,2.5
Honda,Brio Mt S,Kolkata,2013,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,,2.39
Mercedes-Benz,B B180 Class,Delhi,2013,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,,11.25
Honda,City Dtec I V,Kochi,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,,7.11
Toyota,2.5 7 G Innova Seater,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,,10.9
Maruti,Optional Swift Vxi,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,,6.2
Mahindra,2wd W8 Xuv500,Mumbai,2012,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,,7.9
Ford,1.5 Ambiente Dv5 Ecosport Mt,Kochi,2014,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,,4.42
Toyota,4x2 Fortuner Manual,Mumbai,2012,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,,13.5
Volkswagen,1.5 16 Alloy At Highline Plus Vento,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,,6.25
Ford,Figo Titanium,Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,,2.1
BMW,30d X5 Xdrive,Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,,45.0
Mercedes-Benz,220 C C-class Cdi New Style,Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,,33.66
Honda,Brio Mt V,Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,,3.65
Hyundai,1.2 I10 Magna,Delhi,2013,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,,2.75
Mercedes-Benz,220 Glc,Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,,42.5
Hyundai,1.2 Asta Grand I10 Kappa,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,7.39 Lakh,6.5
Audi,2.0 2011-2015 A6 Plus Premium Tdi,Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,,19.0
Volkswagen,At Highline Vento,Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,,4.45
Mini,Cooper Countryman D,Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,,23.0
Hyundai,1.4 Asta Crdi I20,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,,8.35
Audi,2.0 2011-2015 A6 Plus Premium Tdi,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,,22.95
Chevrolet,Beat Lt,Jaipur,2012,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,,1.5
Skoda,1.8 At Elegance Superb Tsi,Kochi,2012,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,,6.89
Ford,1.4 Edition Exi Fiesta Limited Tdci,Chennai,2006,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,,1.45
BMW,5 520d Line Luxury Series,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,69.47 Lakh,33.5
Chevrolet,1.6 Bs3 Ls Magnum Optra,Jaipur,2007,118500,Petrol,Manual,First,12.9,1598.0,102.5,5.0,,1.25
Volkswagen,1.2l Highline Polo,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,,4.2
Renault,110ps 8 Lodgy Rxz Seater,Mumbai,2015,25000,Diesel,Manual,First,19.98,1461.0,108.5,8.0,,6.75
Mercedes-Benz,Avantgrade Cdi E-class E250,Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,,32.0
Maruti,Baleno,Kochi,2017,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,8.78 Lakh,7.5
Hyundai,1.6 Sx Verna,Delhi,2012,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,,4.6
Hyundai,1.1 I10 Magna,Kochi,2017,52340,Petrol,Manual,First,19.81,1086.0,68.05,5.0,,4.04
Mahindra,1.99 4wd S10 Scorpio,Kochi,2016,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,,10.31
Land,2.2l Dynamic Range Rover,Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,,55.76
Ford,Figo Zxi,Chennai,2010,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,,2.6
Maruti,Ertiga Zdi,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,12.74 Lakh,8.5
Honda,1.5 City Gxi,Ahmedabad,2007,60006,Petrol,Manual,First,0.0,,,,,2.95
Honda,Amaze I-dtech S,Kolkata,2014,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,,3.5
Hyundai,I10 Magna,Jaipur,2015,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,,3.55
Honda,Amaze I-dtech S,Kolkata,2013,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,,3.25
Skoda,Ambiente Laura,Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896.0,106.0,5.0,,4.5
Renault,85ps Duster Rxl,Delhi,2014,90000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,,5.35
Mahindra,N6 Nuvosport,Chennai,2017,29000,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,10.52 Lakh,6.5
Maruti,Brezza Dual Plus Tone Vitara Zdi,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,11.98 Lakh,9.0
Hyundai,1.2 Asta I20 Option,Kochi,2016,61012,Petrol,Manual,First,18.6,1197.0,81.83,5.0,,6.0
Skoda,1.4 Ambiente Fabia Mpi,Jaipur,2009,87459,Petrol,Manual,First,14.7,1390.0,85.0,5.0,,2.75
Tata,Ecs Glx Indigo,Pune,2010,70500,Petrol,Manual,First,15.64,1193.0,64.1,5.0,,1.5
Audi,2012-2015 35 Plus Premium Q3 Quattro Tdi,Delhi,2015,64103,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,,19.9
Skoda,1.8 At Elegance Octavia Tsi,Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,,10.0
Toyota,Etios Gd Liva Sp,Delhi,2014,104000,Diesel,Manual,First,23.59,1364.0,67.06,5.0,,3.0
Maruti,1.3 Swift Vxi,Kolkata,2010,42001,Petrol,Manual,First,16.1,,,,,2.11
Mercedes-Benz,B B180 Class,Kochi,2014,37245,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,,11.96
Honda,Amaze S,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,8.54 Lakh,3.25
Hyundai,1.6 Sx Verna,Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,,4.75
Renault,85ps Duster Optional Rxl,Mumbai,2014,30000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,,5.95
