Name,Year,Fuel_Type,Price
Maruti,2012,Diesel,4154.71
Tata,2017,Petrol,4985.65
Honda,2016,Petrol,5340.19
Ford,2012,Diesel,3102.18
Maruti,2013,Diesel,3445.64
Honda,2009,Petrol,3600.75
BMW,2011,Diesel,15400.13
Hyundai,2009,Petrol,2492.83
Hyundai,2016,Petrol,6370.56
Hyundai,2007,Petrol,2326.64
Honda,2016,Petrol,5539.61
Toyota,2014,Diesel,18280.73
Audi,2018,Diesel,43851.58
Ford,2013,Diesel,6093.58
Mahindra,2014,Diesel,8974.17
Honda,2015,Diesel,3877.73
Volkswagen,2013,Diesel,3091.1
Hyundai,2010,Diesel,3822.33
Maruti,2016,Petrol,4930.26
Volkswagen,2010,Petrol,2936.0
Hyundai,2011,Diesel,4210.11
Hyundai,2014,Petrol,5151.84
Datsun,2017,Petrol,4376.29
Audi,2010,Diesel,10857.64
Hyundai,2009,Petrol,2991.39
Maruti,2010,Petrol,2670.09
Toyota,2014,Petrol,4320.9
Jaguar,2011,Diesel,26590.15
Mahindra,2012,Diesel,6370.56
Hyundai,2014,Diesel,5816.59
Toyota,2017,Diesel,21327.51
Maruti,2017,Petrol,4331.98
Tata,2014,Petrol,2382.03
BMW,2015,Diesel,22989.4
Honda,2010,Petrol,3711.54
Toyota,2014,Diesel,12309.02
Volvo,2014,Diesel,22158.46
Nissan,2016,Petrol,7256.89
BMW,2009,Petrol,7755.46
Maruti,2016,Diesel,8309.42
Hyundai,2005,Petrol,941.73
Mercedes-Benz,2014,Diesel,18557.71
Hyundai,2018,Diesel,12131.75
Maruti,2011,Petrol,2714.41
Tata,2017,Petrol,3578.59
Mahindra,2014,Diesel,8586.4
Mercedes-Benz,2009,Petrol,10359.08
Maruti,2013,CNG,3600.75
Honda,2007,Petrol,5816.59
Volkswagen,2015,Diesel,8032.44
Maruti,2017,Petrol,8276.18
Mahindra,2016,Diesel,14679.98
Maruti,2016,Petrol,6437.03
Maruti,2014,Petrol,2880.6
Mercedes-Benz,2017,Petrol,59827.83
Hyundai,2019,Petrol,12741.11
Maruti,2010,Petrol,1772.68
BMW,2015,Diesel,19078.43
Honda,2015,Petrol,6647.54
Honda,2012,Petrol,4376.29
Mercedes-Benz,2014,Diesel,19887.21
Honda,2014,Diesel,4099.31
Maruti,2016,Petrol,6016.02
Hyundai,2008,Petrol,1850.23
Toyota,2012,Diesel,14945.88
Chevrolet,2014,Petrol,3157.58
Skoda,2013,Diesel,5262.63
Maruti,2018,Petrol,10968.44
Audi,2013,Petrol,40993.14
BMW,2014,Diesel,29359.95
Audi,2015,Diesel,25836.76
Maruti,2016,Diesel,6924.52
Mercedes-Benz,2010,Petrol,33237.68
Skoda,2016,Diesel,10924.12
Skoda,2012,Diesel,9417.34
Hyundai,2019,Petrol,4686.51
Volkswagen,2012,Diesel,3877.73
Datsun,2016,Petrol,2769.81
Honda,2013,Petrol,2647.94
Mercedes-Benz,2013,Petrol,12464.13
Honda,2015,Diesel,7877.33
Toyota,2016,Diesel,12076.36
Maruti,2017,Petrol,6869.12
Mahindra,2012,Diesel,8752.59
Ford,2014,Diesel,4897.02
Toyota,2012,Diesel,14956.96
Volkswagen,2013,Diesel,6924.52
Ford,2010,Diesel,2326.64
BMW,2015,Diesel,49856.52
Mercedes-Benz,2017,Diesel,37292.68
Honda,2012,Petrol,4043.92
Hyundai,2013,Petrol,3046.79
Mercedes-Benz,2016,Diesel,47086.72
Hyundai,2019,Petrol,7201.5
Audi,2012,Diesel,21050.53
Volkswagen,2013,Petrol,4930.26
Mini,2017,Diesel,25482.22
Hyundai,2014,Diesel,9251.16
Audi,2014,Diesel,25426.83
Chevrolet,2012,Diesel,1661.88
Skoda,2012,Petrol,7633.59
Ford,2006,Diesel,1606.49
BMW,2014,Diesel,37115.41
Chevrolet,2007,Petrol,1384.9
Volkswagen,2012,Diesel,4653.28
Renault,2015,Diesel,7478.48
Mercedes-Benz,2014,Diesel,35453.53
Maruti,2017,Petrol,8309.42
Hyundai,2012,Diesel,5096.44
Hyundai,2017,Petrol,4476.01
Mahindra,2016,Diesel,11422.68
Land Rover,2018,Diesel,61777.77
Ford,2010,Diesel,2880.6
Maruti,2016,Diesel,9417.34
Honda,2007,Petrol,3268.37
Honda,2014,Diesel,3877.73
Hyundai,2015,Petrol,3933.13
Honda,2013,Diesel,3600.75
Skoda,2008,Diesel,4985.65
Renault,2014,Diesel,5927.39
Mahindra,2017,Diesel,7201.5
Maruti,2016,Diesel,9971.3
Hyundai,2016,Petrol,6647.54
Skoda,2009,Petrol,3046.79
Tata,2010,Petrol,1661.88
Audi,2015,Diesel,22047.66
Skoda,2014,Petrol,11079.23
Toyota,2014,Diesel,3323.77
Maruti,2010,Petrol,2337.72
Mercedes-Benz,2014,Petrol,13250.76
Honda,2013,Diesel,3600.75
Hyundai,2012,Diesel,5262.63
Renault,2014,Diesel,6592.14
Hyundai,2015,Petrol,9029.57
Maruti,2016,Petrol,4675.43
Mercedes-Benz,2010,Petrol,11633.19
Audi,2012,Diesel,49856.52
Hyundai,2012,Petrol,3212.98
Skoda,2017,Petrol,9860.51
Skoda,2017,Petrol,28805.99
Hyundai,2018,Petrol,9107.13
Honda,2014,Diesel,3877.73
Maruti,2004,Petrol,1384.9
Mahindra,2013,Diesel,4099.31
Mercedes-Benz,2018,Diesel,43663.24
Maruti,2013,Petrol,2936.0
Nissan,2015,Diesel,9882.67
Maruti,2013,Diesel,4542.48
Mini,2017,Petrol,39519.6
Ford,2015,Diesel,3988.52
Tata,2007,Diesel,941.73
Chevrolet,2016,Petrol,3678.3
Volkswagen,2012,Diesel,3988.52
Maruti,2016,Diesel,7533.87
Ford,2012,Diesel,2769.81
Toyota,2019,Diesel,21759.6
Hyundai,2011,Diesel,7755.46
Honda,2011,Petrol,4287.66
Hyundai,2018,Petrol,6946.68
Mercedes-Benz,2015,Diesel,20075.56
Chevrolet,2013,Diesel,2936.0
Hyundai,2015,Diesel,7977.04
Toyota,2015,Diesel,15843.3
Maruti,2013,Diesel,7644.67
Toyota,2014,Diesel,11910.17
Hyundai,2007,Petrol,1052.53
Honda,2016,Petrol,8963.1
BMW,2014,Diesel,20496.57
Hyundai,2017,Diesel,5262.63
Maruti,2016,Diesel,9361.95
Skoda,2012,Diesel,3877.73
Hyundai,2006,Diesel,1994.26
Volkswagen,2014,Diesel,4099.31
Honda,2017,Petrol,7943.81
Hyundai,2010,Petrol,1938.86
Hyundai,2018,Diesel,24363.22
Toyota,2017,Diesel,20662.76
Maruti,2011,Petrol,2049.66
Maruti,2017,Petrol,6592.14
Hyundai,2014,Petrol,4154.71
Maruti,2012,Diesel,4154.71
Hyundai,2008,Diesel,2880.6
Hyundai,2006,Petrol,1938.86
Hyundai,2010,Petrol,3102.18
Mercedes-Benz,2017,Diesel,67904.59
Mercedes-Benz,2014,Diesel,19942.61
Maruti,2014,Diesel,4819.46
Hyundai,2016,Diesel,15233.94
Maruti,2010,Petrol,2215.85
Renault,2016,Diesel,11079.23
Fiat,2010,Diesel,1828.07
BMW,2017,Diesel,50709.62
Hyundai,2010,Petrol,3600.75
Toyota,2016,Diesel,14181.41
Maruti,2002,Petrol,609.36
Maruti,2018,Diesel,7921.65
Mahindra,2013,Diesel,7755.46
Tata,2017,Diesel,4154.71
Ford,2017,Petrol,9417.34
Maruti,2012,Diesel,4819.46
Maruti,2016,Petrol,3611.83
Honda,2011,Petrol,4664.35
Audi,2018,Diesel,77953.45
Skoda,2009,Diesel,3268.37
Hyundai,2012,Petrol,4741.91
Honda,2009,Petrol,3955.28
Hyundai,2013,Diesel,3445.64
Hyundai,2014,Petrol,6603.22
Volkswagen,2011,Diesel,5207.24
Honda,2014,Petrol,7644.67
Tata,2018,Diesel,5816.59
BMW,2015,Diesel,31021.84
Maruti,2009,Petrol,1495.7
Honda,2015,Petrol,5373.43
Volkswagen,2012,Diesel,7423.08
Hyundai,2010,Petrol,3434.56
Mercedes-Benz,2015,Diesel,20651.68
Hyundai,2012,Petrol,3102.18
Toyota,2016,Diesel,22435.44
Audi,2015,Diesel,29670.17
Toyota,2010,Diesel,9151.44
Volkswagen,2015,Petrol,4309.82
Maruti,2011,Petrol,2326.64
Honda,2017,Petrol,14059.54
Tata,2013,Diesel,2858.44
Audi,2014,Diesel,23011.56
Mercedes-Benz,2015,Diesel,22446.52
Hyundai,2006,Petrol,1661.88
Maruti,2011,Diesel,2769.81
Maruti,2014,Petrol,4708.67
Mercedes-Benz,2017,Diesel,63151.6
Land Rover,2017,Diesel,48748.6
Volkswagen,2011,Diesel,4043.92
Maruti,2012,Petrol,2271.24
Honda,2012,Petrol,3467.8
Tata,2000,Diesel,1661.88
Tata,2012,Diesel,3157.58
Maruti,2012,Petrol,2936.0
Mahindra,2015,Diesel,11743.98
Tata,2008,Diesel,1384.9
Maruti,2018,Petrol,9140.36
Honda,2011,Petrol,4930.26
Maruti,2012,Diesel,4099.31
Ford,2009,Diesel,3102.18
Honda,2008,Petrol,1994.26
Audi,2014,Diesel,24318.9
BMW,2011,Diesel,54288.22
Audi,2017,Diesel,69433.52
Maruti,2008,CNG,1551.09
Hyundai,2012,Diesel,6093.58
Hyundai,2009,Petrol,3268.37
Honda,2016,Petrol,7600.35
Maruti,2015,Diesel,6813.72
Hyundai,2011,Petrol,3656.15
Volkswagen,2011,Petrol,2825.2
Maruti,2009,Petrol,1661.88
Toyota,2004,Petrol,2769.81
Maruti,2006,Petrol,1551.09
Tata,2012,Diesel,3766.94
Maruti,2012,Petrol,2492.83
Skoda,2013,Diesel,8309.42
Toyota,2008,Petrol,3102.18
Hyundai,2016,Petrol,8486.69
Maruti,2016,Diesel,7921.65
Honda,2010,Petrol,3877.73
Tata,2014,Diesel,3877.73
Honda,2013,Diesel,3822.33
Hyundai,2016,Petrol,3933.13
BMW,2015,Diesel,28794.91
Hyundai,2012,Diesel,5816.59
Tata,2013,Diesel,3212.98
Skoda,2005,Petrol,2271.24
Maruti,2017,Petrol,4154.71
Ford,2014,Diesel,7478.48
Chevrolet,2011,Petrol,1052.53
Jaguar,2017,Diesel,57611.98
Honda,2007,Petrol,4331.98
Skoda,2019,Petrol,30246.29
Hyundai,2009,Petrol,2991.39
Maruti,2013,Diesel,3877.73
Maruti,2016,Petrol,6869.12
Nissan,2011,Diesel,3046.79
Maruti,2015,Diesel,3600.75
Ford,2012,Diesel,3600.75
Maruti,2003,Petrol,720.15
Mini,2017,Petrol,38777.3
Toyota,2014,Diesel,3600.75
Maruti,2018,Petrol,3212.98
Maruti,2011,Petrol,3212.98
BMW,2009,Diesel,19665.63
Nissan,2015,Petrol,9140.36
Hyundai,2015,Petrol,6392.71
Maruti,2017,Diesel,10514.19
Audi,2008,Diesel,14347.6
Mercedes-Benz,2015,Diesel,22158.46
Maruti,2007,Petrol,1107.92
Renault,2015,Diesel,7866.25
Toyota,2017,Diesel,18280.73
Mercedes-Benz,2014,Diesel,28805.99
Maruti,2010,Diesel,3545.35
Honda,2017,Petrol,10503.11
Hyundai,2015,Diesel,4431.69
Mercedes-Benz,2014,Diesel,29359.95
Mercedes-Benz,2014,Petrol,13040.25
Mercedes-Benz,2017,Diesel,40993.14
Honda,2016,Petrol,9694.32
Hyundai,2007,Petrol,2160.45
Honda,2011,Petrol,4154.71
Hyundai,2010,Petrol,2769.81
Jaguar,2017,Petrol,38223.34
Honda,2015,Petrol,5151.84
Mini,2015,Petrol,35453.53
Mercedes-Benz,2017,Diesel,69588.63
Hyundai,2014,Petrol,3600.75
Maruti,2014,Petrol,3434.56
Maruti,2011,Diesel,4331.98
BMW,2011,Diesel,12187.15
Tata,2014,Diesel,3877.73
Audi,2014,Diesel,18280.73
Land Rover,2012,Diesel,33237.68
Mercedes-Benz,2010,Diesel,31021.84
Mitsubishi,2018,Diesel,31021.84
Maruti,2010,Petrol,1019.29
Maruti,2013,Petrol,3046.79
Land Rover,2017,Diesel,59639.48
Hyundai,2011,Petrol,5484.22
BMW,2013,Diesel,37115.41
Jaguar,2013,Diesel,30966.44
Skoda,2010,Petrol,8032.44
Audi,2017,Diesel,28484.69
Land Rover,2014,Diesel,32872.07
Mercedes-Benz,2013,Diesel,21050.53
Mahindra,2017,Diesel,14458.39
BMW,2015,Diesel,28252.03
Honda,2017,Petrol,9417.34
Volvo,2010,Diesel,8032.44
Hyundai,2005,Petrol,886.34
Hyundai,2017,Petrol,7644.67
Mercedes-Benz,2018,Petrol,78651.44
Hyundai,2015,Petrol,2492.83
Hyundai,2018,Petrol,6093.58
Honda,2013,Petrol,4819.46
Volkswagen,2010,Petrol,2492.83
Audi,2016,Petrol,27144.11
Volkswagen,2010,Diesel,6038.18
Hyundai,2017,Petrol,13328.31
Mercedes-Benz,2011,Petrol,9417.34
Mini,2014,Petrol,31575.8
Hyundai,2006,Petrol,1329.51
Toyota,2013,Diesel,6370.56
Honda,2014,Petrol,3545.35
Maruti,2018,Petrol,10957.36
Skoda,2012,Diesel,7290.13
Hyundai,2018,Petrol,4498.17
Renault,2019,Diesel,14812.93
BMW,2011,Diesel,28606.57
Maruti,2016,Petrol,4143.63
Volvo,2015,Diesel,24374.3
Maruti,2007,Petrol,1606.49
Honda,2008,Petrol,2215.85
Maruti,2017,CNG,5207.24
Chevrolet,2014,Petrol,4154.71
Mahindra,2016,Diesel,8531.01
Hyundai,2012,Petrol,3711.54
Hyundai,2014,Petrol,2880.6
Hyundai,2017,Petrol,15256.1
Volkswagen,2017,Petrol,7866.25
Honda,2008,Petrol,2936.0
Tata,2014,Diesel,2769.81
Mahindra,2013,Diesel,8342.66
Hyundai,2017,Petrol,8841.22
Audi,2014,Diesel,43208.99
Maruti,2011,Petrol,2492.83
Mitsubishi,2010,Petrol,4265.5
Toyota,2015,Diesel,14956.96
Maruti,2016,Diesel,3877.73
Maruti,2018,Diesel,9882.67
Audi,2016,Diesel,22568.39
BMW,2016,Diesel,40439.18
Audi,2016,Diesel,54188.5
Hyundai,2016,Petrol,7977.04
Renault,2012,Diesel,6636.46
Hyundai,2016,Diesel,5816.59
Ford,2014,Diesel,7201.5
Volkswagen,2013,Petrol,4874.86
Hyundai,2017,Diesel,5096.44
Tata,2013,Diesel,3268.37
Honda,2011,Petrol,3611.83
Hyundai,2008,Petrol,2459.59
Toyota,2012,Diesel,11633.19
Maruti,2017,Diesel,9151.44
Toyota,2013,Diesel,16009.48
Ford,2009,Petrol,2769.81
Mercedes-Benz,2018,Petrol,56980.47
Mercedes-Benz,2014,Diesel,25482.22
Skoda,2012,Diesel,6093.58
Hyundai,2015,Petrol,4985.65
Ford,2018,Petrol,7533.87
Skoda,2013,Petrol,9694.32
Renault,2015,Diesel,7755.46
Land Rover,2015,Diesel,37115.41
Ford,2011,Diesel,2492.83
Ford,2008,Diesel,4697.59
Toyota,2017,Diesel,31487.16
Volkswagen,2012,Diesel,3046.79
Maruti,2011,Diesel,3323.77
Nissan,2013,Diesel,3933.13
Hyundai,2013,Diesel,5318.03
BMW,2011,Petrol,14956.96
Mercedes-Benz,2017,Diesel,62043.67
Honda,2004,Petrol,4420.61
Hyundai,2016,Diesel,17172.8
Hyundai,2010,Petrol,2570.38
Mercedes-Benz,2016,Diesel,20585.2
Maruti,2014,Petrol,6093.58
Skoda,2006,Diesel,3545.35
Honda,2015,Petrol,4431.69
Maruti,2004,Petrol,1772.68
Maruti,2013,Petrol,4597.88
Honda,2014,Petrol,4708.67
Maruti,2011,Petrol,2880.6
Toyota,2008,Petrol,3800.18
Chevrolet,2012,Petrol,2825.2
Toyota,2017,Diesel,35453.53
Ford,2014,Diesel,6924.52
Maruti,2010,Diesel,3988.52
Mercedes-Benz,2010,Diesel,20496.57
Honda,2015,Petrol,4708.67
Hyundai,2017,Petrol,5318.03
Mahindra,2015,Diesel,14403.0
Skoda,2012,Petrol,2492.83
Hyundai,2009,Petrol,2548.22
Hyundai,2019,Petrol,15023.43
Mahindra,2017,Diesel,13572.05
Skoda,2013,Diesel,4165.79
Renault,2015,Diesel,9505.98
BMW,2011,Diesel,30467.88
Toyota,2013,Petrol,5484.22
Maruti,2012,Petrol,3656.15
Hyundai,2016,Petrol,8863.38
Maruti,2014,Petrol,3091.1
Land Rover,2017,Diesel,50565.59
Chevrolet,2014,Petrol,2825.2
Tata,2014,Petrol,1107.92
Audi,2017,Diesel,41613.58
Mercedes-Benz,2009,Diesel,10292.6
Maruti,2019,Petrol,7057.47
Fiat,2013,Petrol,3301.61
Maruti,2017,Petrol,6370.56
Toyota,2010,Diesel,14403.0
Maruti,2014,Petrol,7533.87
BMW,2010,Petrol,11622.11
Maruti,2014,Petrol,6204.37
Honda,2010,Petrol,3157.58
Hyundai,2013,Diesel,9262.23
Tata,2005,Diesel,1107.92
Mercedes-Benz,2010,Petrol,11910.17
Maruti,2011,Diesel,4265.5
Ford,2012,Diesel,3323.77
Honda,2015,Petrol,10636.06
Toyota,2012,Diesel,14679.98
Honda,2016,Petrol,6370.56
Hyundai,2014,Diesel,7478.48
Chevrolet,2013,Diesel,5373.43
Mercedes-Benz,2019,Petrol,43197.91
Maruti,2009,Petrol,3157.58
Toyota,2012,Diesel,10536.35
BMW,2012,Diesel,20496.57
Renault,2015,Diesel,7478.48
BMW,2017,Diesel,32572.93
Honda,2009,Petrol,3645.07
Maruti,2016,Diesel,10525.27
Maruti,2010,Petrol,2437.43
Mahindra,2012,Diesel,7201.5
Honda,2007,Petrol,5428.82
Maruti,2013,Diesel,7478.48
Toyota,2013,Diesel,4210.11
Audi,2013,Petrol,32683.72
Skoda,2017,Diesel,11633.19
Volkswagen,2015,Diesel,6869.12
Skoda,2009,Diesel,5539.61
Mahindra,2007,Diesel,2548.22
Toyota,2016,Diesel,18834.69
BMW,2014,Diesel,28252.03
Honda,2015,Diesel,6259.76
Honda,2015,Diesel,6204.37
Jaguar,2015,Diesel,33215.52
Maruti,2016,Diesel,8187.55
Jeep,2018,Diesel,21050.53
Toyota,2010,Petrol,5539.61
Honda,2011,Petrol,3711.54
Maruti,2013,Petrol,4930.26
Hyundai,2019,Diesel,9206.84
Mahindra,2012,Diesel,6647.54
Maruti,2014,Diesel,5816.59
Hyundai,2006,Petrol,1551.09
Audi,2012,Diesel,13627.45
Ford,2004,Petrol,1661.88
Volkswagen,2018,Diesel,8996.33
Mahindra,2012,Diesel,6780.49
Honda,2017,Diesel,12054.2
Chevrolet,2014,Petrol,3877.73
Hyundai,2016,Petrol,6813.72
BMW,2016,Diesel,36561.45
BMW,2012,Diesel,14956.96
Toyota,2015,Diesel,18956.56
Audi,2014,Diesel,32982.86
Maruti,2013,Diesel,6592.14
Hyundai,2015,Petrol,6370.56
Mercedes-Benz,2006,Petrol,21050.53
Renault,2014,Diesel,5262.63
Mahindra,2013,Diesel,3656.15
Toyota,2013,Diesel,18280.73
BMW,2014,Diesel,48748.6
Maruti,2011,Diesel,4863.78
Maruti,2018,Diesel,6869.12
Audi,2016,Petrol,26833.89
Mitsubishi,2008,Diesel,6038.18
Jaguar,2016,Diesel,48748.6
Toyota,2019,Diesel,27498.64
Skoda,2015,Diesel,12951.62
Toyota,2018,Petrol,22158.46
Maruti,2010,Petrol,1606.49
Mercedes-Benz,2018,Diesel,53734.25
Volkswagen,2016,Diesel,10469.87
Mahindra,2015,Diesel,13849.03
Nissan,2014,Diesel,7644.67
Hyundai,2012,Diesel,6425.95
BMW,2016,Diesel,49369.04
Mahindra,2015,Diesel,9417.34
Hyundai,2017,Diesel,11854.77
Audi,2009,Diesel,13295.07
Chevrolet,2010,Petrol,2703.33
Mahindra,2000,Diesel,2160.45
Hyundai,2014,Petrol,4819.46
Toyota,2017,Diesel,19388.65
Hyundai,2015,Petrol,3212.98
Volkswagen,2013,Diesel,3212.98
Maruti,2016,Diesel,9860.51
BMW,2013,Diesel,18557.71
Hyundai,2016,Petrol,4376.29
Honda,2009,Petrol,2326.64
Honda,2011,Petrol,4752.99
Mahindra,2009,Diesel,4265.5
BMW,2009,Diesel,9971.3
Honda,2013,Petrol,4985.65
Mahindra,2016,Diesel,13804.72
Hyundai,2014,Diesel,5151.84
Toyota,2014,Diesel,22712.42
Mahindra,2006,Diesel,3212.98
Maruti,2007,Petrol,1606.49
Hyundai,2002,Petrol,720.15
Mini,2016,Diesel,32683.72
Audi,2015,Diesel,27698.07
Hyundai,2013,Petrol,3877.73
Tata,2017,Diesel,12464.13
Honda,2017,Diesel,11954.49
Volkswagen,2013,Diesel,6536.74
Hyundai,2017,Petrol,5672.56
Maruti,2017,Petrol,6315.16
BMW,2016,Diesel,39707.95
Ford,2007,Petrol,1384.9
Hyundai,2013,Petrol,2936.0
Hyundai,2016,Diesel,10181.81
BMW,2014,Diesel,26036.18
Mercedes-Benz,2011,Petrol,13849.03
Chevrolet,2010,Petrol,1661.88
Hyundai,2004,Petrol,886.34
Tata,2009,Diesel,830.94
Mahindra,2012,Diesel,8974.17
Maruti,2017,Diesel,10802.25
Mercedes-Benz,2017,Diesel,42023.51
Honda,2005,Petrol,2171.53
Toyota,2015,Diesel,22712.42
Maruti,2011,Petrol,3046.79
Jaguar,2017,Petrol,83094.21
Hyundai,2009,Diesel,3102.18
Honda,2017,Petrol,10248.29
Toyota,2007,Petrol,3323.77
Audi,2014,Diesel,26468.27
Toyota,2014,Diesel,14126.02
Hyundai,2014,Diesel,4597.88
Volkswagen,2013,Petrol,5151.84
Toyota,2012,Diesel,9860.51
Hyundai,2008,Diesel,1661.88
Maruti,2015,Diesel,3622.91
Audi,2008,Diesel,19942.61
Hyundai,2016,Petrol,6979.91
Maruti,2017,Diesel,12530.61
Honda,2014,Petrol,6824.8
Maruti,2014,Petrol,6647.54
Nissan,2013,Petrol,6016.02
Volkswagen,2012,Diesel,5151.84
Maruti,2015,Diesel,8309.42
Maruti,2015,Diesel,6924.52
Mercedes-Benz,2007,Diesel,10248.29
Honda,2013,Petrol,3489.96
Hyundai,2008,Petrol,2548.22
Hyundai,2012,Diesel,5816.59
Maruti,2017,Diesel,8198.63
Ford,2006,Petrol,1717.28
Volkswagen,2017,Petrol,6647.54
Honda,2016,Petrol,6536.74
Honda,2013,Diesel,5207.24
Hyundai,2015,Diesel,7201.5
Maruti,2012,Diesel,3933.13
Honda,2014,Petrol,7866.25
Skoda,2010,Petrol,6647.54
Maruti,2017,Diesel,8852.3
Hyundai,2009,Petrol,4542.48
Maruti,2017,Petrol,4376.29
Hyundai,2016,Petrol,4852.7
Hyundai,2011,Petrol,3046.79
Mercedes-Benz,2016,Petrol,61534.03
Audi,2014,Diesel,32129.76
Ford,2013,Diesel,7312.29
Volkswagen,2012,Diesel,7744.38
Toyota,2017,Diesel,20773.55
Ford,2010,Diesel,1418.14
Chevrolet,2006,Petrol,1329.51
Maruti,2013,Petrol,4775.15
Land Rover,2011,Diesel,18280.73
Hyundai,2017,Petrol,6248.68
Ford,2017,Diesel,34478.56
Audi,2013,Diesel,28207.71
Hyundai,2017,Petrol,8730.43
Mercedes-Benz,2017,Diesel,39885.22
Mercedes-Benz,2014,Diesel,33237.68
Maruti,2008,Petrol,3157.58
Honda,2011,Petrol,3877.73
Renault,2014,Diesel,8309.42
Mercedes-Benz,2012,Diesel,21050.53
BMW,2015,Diesel,59827.83
Hyundai,2015,Petrol,5207.24
Maruti,2017,Petrol,9417.34
BMW,2013,Diesel,18834.69
Maruti,2017,Petrol,3888.81
Audi,2013,Diesel,21604.49
Mini,2012,Petrol,18834.69
Audi,2015,Diesel,48028.45
Chevrolet,2012,Diesel,2936.0
Maruti,2015,Petrol,3899.89
Nissan,2016,Diesel,6924.52
BMW,2015,Diesel,27421.09
Maruti,2015,Petrol,5816.59
Skoda,2016,Diesel,12187.15
Ford,2018,Petrol,10082.1
Hyundai,2010,Petrol,3600.75
Maruti,2017,Diesel,9417.34
Hyundai,2010,Petrol,3434.56
BMW,2015,Diesel,22003.35
Hyundai,2017,Diesel,5428.82
Honda,2014,Petrol,6315.16
Maruti,2006,Petrol,1938.86
Maruti,2012,Diesel,3212.98
Maruti,2018,Diesel,8675.04
Tata,2015,Diesel,9029.57
Hyundai,2008,Petrol,2215.85
Maruti,2016,Diesel,6924.52
Maruti,2007,Diesel,3766.94
Tata,2016,Petrol,3534.27
Maruti,2017,Diesel,8586.4
Maruti,2014,Petrol,3545.35
Maruti,2015,Diesel,5428.82
Volkswagen,2012,Petrol,4210.11
Volkswagen,2009,Diesel,4431.69
Mini,2014,Diesel,26036.18
Tata,2008,Diesel,1274.11
Hyundai,2007,Petrol,2437.43
Land Rover,2008,Diesel,29359.95
Honda,2015,Petrol,11799.38
Jaguar,2016,Diesel,39530.68
Mercedes-Benz,2017,Diesel,35387.05
Chevrolet,2011,Diesel,4653.28
Mahindra,2015,Diesel,10968.44
Mercedes-Benz,2014,Petrol,17128.49
Honda,2018,Petrol,9373.03
Toyota,2013,Petrol,3600.75
