Name,Location,Year,Fuel_Type,Transmission,Owner_Type
Mahindra,Coimbatore,2017,Diesel,Manual,First
Hyundai,Kochi,2014,Petrol,Manual,First
Hyundai,Bangalore,2014,Petrol,Automatic,First
Toyota,Mumbai,2016,Petrol,Automatic,First
Hyundai,Ahmedabad,2008,Diesel,Manual,Second
Toyota,Bangalore,2012,Petrol,Manual,First
Hyundai,Jaipur,2014,Diesel,Manual,First
Mahindra,Jaipur,2012,Diesel,Manual,Second
Audi,Kochi,2015,Diesel,Automatic,First
Maruti,Delhi,2014,Diesel,Manual,First
Maruti,Kolkata,2014,Diesel,Manual,First
Maruti,Delhi,2013,Diesel,Manual,First
Hyundai,Chennai,2015,Petrol,Manual,Third
Volkswagen,Kolkata,2015,Petrol,Manual,First
Renault,Kochi,2017,Petrol,Manual,First
Hyundai,Kolkata,2010,Petrol,Manual,First
Nissan,Hyderabad,2010,Diesel,Automatic,First
Maruti,Hyderabad,2010,Petrol,Manual,First
Toyota,Mumbai,2017,Diesel,Manual,First
Ford,Bangalore,2010,Diesel,Manual,First
Mercedes-Benz,Delhi,2015,Petrol,Automatic,First
Mercedes-Benz,Pune,2011,Diesel,Manual,Second
Tata,Chennai,2016,Diesel,Manual,First
Audi,Jaipur,2012,Diesel,Automatic,First
Honda,Mumbai,2007,Petrol,Automatic,Second
Mercedes-Benz,Coimbatore,2019,Diesel,Automatic,First
Maruti,Pune,2016,Diesel,Manual,First
Hyundai,Mumbai,2018,Diesel,Manual,First
Porsche,Mumbai,2008,Petrol,Automatic,First
Mahindra,Mumbai,2015,Diesel,Manual,First
Hyundai,Kochi,2012,Petrol,Automatic,First
Nissan,Kochi,2015,Diesel,Manual,First
Honda,Coimbatore,2016,Petrol,Automatic,Second
Audi,Delhi,2014,Diesel,Automatic,Second
Ford,Jaipur,2008,Diesel,Manual,First
Toyota,Chennai,2006,Petrol,Manual,Third
Toyota,Hyderabad,2012,Diesel,Manual,First
Hyundai,Hyderabad,2005,Petrol,Manual,First
Maruti,Jaipur,2012,Diesel,Manual,First
Tata,Pune,2017,Petrol,Manual,First
Honda,Kochi,2016,Petrol,Manual,First
Ford,Hyderabad,2012,Diesel,Manual,First
Maruti,Jaipur,2013,Diesel,Manual,First
Honda,Delhi,2009,Petrol,Manual,First
BMW,Delhi,2011,Diesel,Automatic,Second
Hyundai,Pune,2009,Petrol,Manual,First
Hyundai,Bangalore,2016,Petrol,Manual,First
Hyundai,Hyderabad,2007,Petrol,Manual,First
Honda,Mumbai,2016,Petrol,Manual,First
Toyota,Delhi,2014,Diesel,Manual,First
Audi,Coimbatore,2018,Diesel,Automatic,First
Ford,Delhi,2013,Diesel,Manual,First
Mahindra,Delhi,2014,Diesel,Manual,First
Honda,Kolkata,2015,Diesel,Manual,First
Volkswagen,Kolkata,2013,Diesel,Manual,First
Hyundai,Ahmedabad,2010,Diesel,Manual,First
Maruti,Bangalore,2016,Petrol,Manual,First
Volkswagen,Delhi,2010,Petrol,Manual,First
Hyundai,Pune,2011,Diesel,Manual,Second
Hyundai,Mumbai,2014,Petrol,Manual,First
Datsun,Pune,2017,Petrol,Manual,First
Audi,Kolkata,2010,Diesel,Automatic,First
Hyundai,Pune,2009,Petrol,Manual,Second
Maruti,Coimbatore,2010,Petrol,Manual,First
Toyota,Ahmedabad,2014,Petrol,Manual,First
Jaguar,Hyderabad,2011,Diesel,Automatic,Second
Mahindra,Delhi,2012,Diesel,Manual,Second
Hyundai,Kolkata,2014,Diesel,Automatic,First
Toyota,Mumbai,2017,Diesel,Automatic,First
Maruti,Coimbatore,2017,Petrol,Manual,First
Tata,Bangalore,2014,Petrol,Manual,First
BMW,Mumbai,2015,Diesel,Automatic,First
Honda,Delhi,2010,Petrol,Manual,First
Toyota,Ahmedabad,2014,Diesel,Manual,First
Volvo,Bangalore,2014,Diesel,Automatic,First
Nissan,Coimbatore,2016,Petrol,Automatic,First
BMW,Mumbai,2009,Petrol,Automatic,First
Maruti,Mumbai,2016,Diesel,Manual,First
Hyundai,Mumbai,2005,Petrol,Manual,Second
Mercedes-Benz,Pune,2014,Diesel,Automatic,Second
Hyundai,Kolkata,2018,Diesel,Manual,First
Maruti,Pune,2011,Petrol,Manual,First
Tata,Coimbatore,2017,Petrol,Automatic,First
Mahindra,Kolkata,2014,Diesel,Manual,First
Mercedes-Benz,Kolkata,2009,Petrol,Automatic,First
Maruti,Pune,2013,CNG,Manual,First
Honda,Bangalore,2007,Petrol,Manual,Second
Volkswagen,Pune,2015,Diesel,Automatic,First
Maruti,Kochi,2017,Petrol,Manual,First
Mahindra,Jaipur,2016,Diesel,Automatic,First
Maruti,Coimbatore,2016,Petrol,Manual,First
Maruti,Hyderabad,2014,Petrol,Manual,First
Mercedes-Benz,Kolkata,2017,Petrol,Automatic,First
Hyundai,Kochi,2019,Petrol,Automatic,First
Maruti,Chennai,2010,Petrol,Manual,Second
BMW,Coimbatore,2015,Diesel,Automatic,First
Honda,Mumbai,2015,Petrol,Automatic,First
Honda,Delhi,2012,Petrol,Manual,First
Mercedes-Benz,Kochi,2014,Diesel,Automatic,First
Honda,Kolkata,2014,Diesel,Manual,First
Maruti,Kochi,2016,Petrol,Manual,First
Hyundai,Kochi,2008,Petrol,Manual,Third
Toyota,Coimbatore,2012,Diesel,Manual,First
Chevrolet,Pune,2014,Petrol,Manual,First
Skoda,Chennai,2013,Diesel,Manual,First
Maruti,Kochi,2018,Petrol,Manual,First
Audi,Mumbai,2013,Petrol,Automatic,First
BMW,Mumbai,2014,Diesel,Automatic,First
Audi,Coimbatore,2015,Diesel,Automatic,First
Maruti,Chennai,2016,Diesel,Manual,First
Mercedes-Benz,Kolkata,2010,Petrol,Automatic,First
Skoda,Coimbatore,2016,Diesel,Automatic,First
Skoda,Pune,2012,Diesel,Automatic,First
Hyundai,Kochi,2019,Petrol,Manual,First
Volkswagen,Jaipur,2012,Diesel,Manual,First
Datsun,Kolkata,2016,Petrol,Manual,First
Honda,Kolkata,2013,Petrol,Manual,First
Mercedes-Benz,Delhi,2013,Petrol,Automatic,First
Honda,Kochi,2015,Diesel,Manual,First
Toyota,Ahmedabad,2016,Diesel,Manual,First
Maruti,Ahmedabad,2017,Petrol,Manual,First
Mahindra,Mumbai,2012,Diesel,Manual,First
Ford,Kochi,2014,Diesel,Manual,First
Toyota,Mumbai,2012,Diesel,Manual,First
Volkswagen,Chennai,2013,Diesel,Automatic,First
Ford,Jaipur,2010,Diesel,Manual,Second
BMW,Mumbai,2015,Diesel,Automatic,First
Mercedes-Benz,Coimbatore,2017,Diesel,Automatic,First
Honda,Bangalore,2012,Petrol,Manual,Second
Hyundai,Delhi,2013,Petrol,Manual,First
Mercedes-Benz,Bangalore,2016,Diesel,Automatic,First
Hyundai,Kolkata,2019,Petrol,Manual,First
Audi,Mumbai,2012,Diesel,Automatic,Second
Volkswagen,Mumbai,2013,Petrol,Automatic,Second
Mini,Jaipur,2017,Diesel,Automatic,Second
Hyundai,Bangalore,2014,Diesel,Manual,First
Audi,Mumbai,2014,Diesel,Automatic,First
Chevrolet,Jaipur,2012,Diesel,Manual,First
Skoda,Kochi,2012,Petrol,Automatic,First
Ford,Chennai,2006,Diesel,Manual,Second
BMW,Hyderabad,2014,Diesel,Automatic,First
Chevrolet,Jaipur,2007,Petrol,Manual,First
Volkswagen,Hyderabad,2012,Diesel,Manual,First
Renault,Mumbai,2015,Diesel,Manual,First
Mercedes-Benz,Bangalore,2014,Diesel,Automatic,First
Maruti,Kochi,2017,Petrol,Manual,First
Hyundai,Delhi,2012,Diesel,Manual,First
Hyundai,Kochi,2017,Petrol,Manual,First
Mahindra,Kochi,2016,Diesel,Manual,First
Land Rover,Coimbatore,2018,Diesel,Automatic,First
Ford,Chennai,2010,Diesel,Manual,First
Maruti,Mumbai,2016,Diesel,Manual,First
Honda,Ahmedabad,2007,Petrol,Manual,First
Honda,Kolkata,2014,Diesel,Manual,First
Hyundai,Jaipur,2015,Petrol,Manual,First
Honda,Kolkata,2013,Diesel,Manual,First
Skoda,Hyderabad,2008,Diesel,Manual,First
Renault,Delhi,2014,Diesel,Manual,First
Mahindra,Chennai,2017,Diesel,Manual,Second
Maruti,Mumbai,2016,Diesel,Manual,First
Hyundai,Kochi,2016,Petrol,Manual,First
Skoda,Jaipur,2009,Petrol,Manual,First
Tata,Pune,2010,Petrol,Manual,First
Audi,Delhi,2015,Diesel,Automatic,First
Skoda,Mumbai,2014,Petrol,Automatic,First
Toyota,Delhi,2014,Diesel,Manual,First
Maruti,Kolkata,2010,Petrol,Manual,First
Mercedes-Benz,Kochi,2014,Petrol,Automatic,First
Honda,Kolkata,2013,Diesel,Manual,First
Hyundai,Jaipur,2012,Diesel,Manual,Second
Renault,Mumbai,2014,Diesel,Manual,First
Hyundai,Delhi,2015,Petrol,Manual,Second
Maruti,Mumbai,2016,Petrol,Automatic,First
Mercedes-Benz,Kolkata,2010,Petrol,Automatic,First
Audi,Delhi,2012,Diesel,Automatic,First
Hyundai,Pune,2012,Petrol,Manual,Second
Skoda,Mumbai,2017,Petrol,Automatic,First
Skoda,Hyderabad,2017,Petrol,Automatic,First
Hyundai,Coimbatore,2018,Petrol,Manual,First
Honda,Kolkata,2014,Diesel,Manual,Second
Maruti,Chennai,2004,Petrol,Manual,Second
Mahindra,Hyderabad,2013,Diesel,Manual,First
Mercedes-Benz,Coimbatore,2018,Diesel,Automatic,First
Maruti,Kolkata,2013,Petrol,Manual,First
Nissan,Coimbatore,2015,Diesel,Manual,Second
Maruti,Delhi,2013,Diesel,Manual,First
Mini,Kochi,2017,Petrol,Automatic,First
Ford,Bangalore,2015,Diesel,Manual,First
Tata,Jaipur,2007,Diesel,Manual,Second
Chevrolet,Kochi,2016,Petrol,Manual,Second
Volkswagen,Mumbai,2012,Diesel,Manual,First
Maruti,Hyderabad,2016,Diesel,Manual,First
Ford,Kolkata,2012,Diesel,Manual,First
Toyota,Kochi,2019,Diesel,Automatic,First
Hyundai,Mumbai,2011,Diesel,Automatic,Second
Honda,Kolkata,2011,Petrol,Manual,First
Hyundai,Kochi,2018,Petrol,Manual,First
Mercedes-Benz,Kochi,2015,Diesel,Automatic,First
Chevrolet,Mumbai,2013,Diesel,Manual,First
Hyundai,Kochi,2015,Diesel,Manual,First
Toyota,Coimbatore,2015,Diesel,Manual,First
Maruti,Chennai,2013,Diesel,Manual,First
Toyota,Mumbai,2014,Diesel,Manual,First
Hyundai,Mumbai,2007,Petrol,Manual,Third
Honda,Kochi,2016,Petrol,Manual,First
BMW,Ahmedabad,2014,Diesel,Automatic,First
Hyundai,Mumbai,2017,Diesel,Manual,First
Maruti,Chennai,2016,Diesel,Manual,First
Skoda,Kolkata,2012,Diesel,Manual,First
Hyundai,Kochi,2006,Diesel,Manual,First
Volkswagen,Jaipur,2014,Diesel,Manual,Second
Honda,Coimbatore,2017,Petrol,Manual,First
Hyundai,Jaipur,2010,Petrol,Manual,First
Hyundai,Kochi,2018,Diesel,Automatic,First
Toyota,Pune,2017,Diesel,Manual,First
Maruti,Jaipur,2011,Petrol,Manual,Third
Maruti,Coimbatore,2017,Petrol,Manual,Second
Hyundai,Mumbai,2014,Petrol,Manual,First
Maruti,Pune,2012,Diesel,Manual,First
Hyundai,Hyderabad,2008,Diesel,Manual,First
Hyundai,Hyderabad,2006,Petrol,Manual,First
Hyundai,Mumbai,2010,Petrol,Manual,First
Mercedes-Benz,Coimbatore,2017,Diesel,Automatic,First
Mercedes-Benz,Bangalore,2014,Diesel,Manual,Second
Maruti,Hyderabad,2014,Diesel,Manual,First
Hyundai,Bangalore,2016,Diesel,Manual,First
Maruti,Pune,2010,Petrol,Manual,First
Renault,Delhi,2016,Diesel,Manual,First
Fiat,Delhi,2010,Diesel,Manual,First
BMW,Coimbatore,2017,Diesel,Automatic,First
Hyundai,Bangalore,2010,Petrol,Manual,Second
Toyota,Pune,2016,Diesel,Manual,First
Maruti,Mumbai,2002,Petrol,Manual,Third
Maruti,Hyderabad,2018,Diesel,Manual,First
Mahindra,Pune,2013,Diesel,Manual,Second
Tata,Pune,2017,Diesel,Manual,First
Ford,Mumbai,2017,Petrol,Manual,First
Maruti,Jaipur,2012,Diesel,Manual,First
Maruti,Kochi,2016,Petrol,Manual,First
Honda,Jaipur,2011,Petrol,Manual,First
Audi,Kochi,2018,Diesel,Automatic,First
Skoda,Mumbai,2009,Diesel,Automatic,Second
Hyundai,Kochi,2012,Petrol,Manual,First
Honda,Jaipur,2009,Petrol,Automatic,First
Hyundai,Kolkata,2013,Diesel,Manual,First
Hyundai,Coimbatore,2014,Petrol,Automatic,First
Volkswagen,Hyderabad,2011,Diesel,Manual,First
Honda,Ahmedabad,2014,Petrol,Manual,First
Tata,Pune,2018,Diesel,Manual,First
BMW,Pune,2015,Diesel,Automatic,First
Maruti,Delhi,2009,Petrol,Manual,First
Honda,Delhi,2015,Petrol,Manual,First
Volkswagen,Coimbatore,2012,Diesel,Manual,First
Hyundai,Hyderabad,2010,Petrol,Manual,First
Mercedes-Benz,Kochi,2015,Diesel,Automatic,First
Hyundai,Pune,2012,Petrol,Manual,First
Toyota,Chennai,2016,Diesel,Manual,First
Audi,Kochi,2015,Diesel,Automatic,First
Toyota,Hyderabad,2010,Diesel,Manual,Second
Volkswagen,Mumbai,2015,Petrol,Manual,First
Maruti,Hyderabad,2011,Petrol,Manual,First
Honda,Mumbai,2017,Petrol,Automatic,First
Tata,Coimbatore,2013,Diesel,Manual,First
Audi,Kochi,2014,Diesel,Automatic,First
Mercedes-Benz,Delhi,2015,Diesel,Automatic,First
Hyundai,Chennai,2006,Petrol,Manual,Second
Maruti,Kolkata,2011,Diesel,Manual,First
Maruti,Hyderabad,2014,Petrol,Automatic,First
Mercedes-Benz,Hyderabad,2017,Diesel,Automatic,First
Land Rover,Delhi,2017,Diesel,Automatic,First
Volkswagen,Hyderabad,2011,Diesel,Manual,First
Maruti,Hyderabad,2012,Petrol,Manual,First
Honda,Kochi,2012,Petrol,Manual,First
Tata,Hyderabad,2000,Diesel,Manual,Second
Tata,Pune,2012,Diesel,Manual,First
Maruti,Delhi,2012,Petrol,Manual,First
Mahindra,Hyderabad,2015,Diesel,Manual,First
Tata,Pune,2008,Diesel,Manual,Second
Maruti,Mumbai,2018,Petrol,Manual,First
Honda,Mumbai,2011,Petrol,Automatic,First
Maruti,Kolkata,2012,Diesel,Manual,First
Ford,Hyderabad,2009,Diesel,Manual,First
Honda,Kolkata,2008,Petrol,Manual,First
Audi,Kochi,2014,Diesel,Automatic,First
BMW,Mumbai,2011,Diesel,Automatic,First
Audi,Coimbatore,2017,Diesel,Automatic,First
Maruti,Pune,2008,CNG,Manual,First
Hyundai,Pune,2012,Diesel,Manual,First
Hyundai,Bangalore,2009,Petrol,Automatic,Third
Honda,Kochi,2016,Petrol,Automatic,First
Maruti,Hyderabad,2015,Diesel,Manual,First
Hyundai,Pune,2011,Petrol,Manual,Second
Volkswagen,Kolkata,2011,Petrol,Manual,First
Maruti,Ahmedabad,2009,Petrol,Manual,First
Toyota,Chennai,2004,Petrol,Automatic,Second
Maruti,Chennai,2006,Petrol,Manual,Second
Tata,Pune,2012,Diesel,Manual,First
Maruti,Pune,2012,Petrol,Manual,First
Skoda,Kolkata,2013,Diesel,Automatic,First
Toyota,Kolkata,2008,Petrol,Automatic,First
Hyundai,Coimbatore,2016,Petrol,Manual,First
Maruti,Chennai,2016,Diesel,Manual,First
Honda,Delhi,2010,Petrol,Manual,First
Tata,Hyderabad,2014,Diesel,Manual,Second
Honda,Kolkata,2013,Diesel,Manual,First
Hyundai,Coimbatore,2016,Petrol,Manual,First
BMW,Kochi,2015,Diesel,Automatic,Second
Hyundai,Bangalore,2012,Diesel,Manual,First
Tata,Ahmedabad,2013,Diesel,Manual,First
Skoda,Jaipur,2005,Petrol,Automatic,First
Maruti,Pune,2017,Petrol,Manual,First
Ford,Mumbai,2014,Diesel,Manual,First
Chevrolet,Kolkata,2011,Petrol,Manual,Second
Jaguar,Hyderabad,2017,Diesel,Automatic,First
Honda,Jaipur,2007,Petrol,Manual,Third
Skoda,Kochi,2019,Petrol,Automatic,First
Hyundai,Chennai,2009,Petrol,Manual,First
Maruti,Delhi,2013,Diesel,Manual,First
Maruti,Mumbai,2016,Petrol,Automatic,First
Nissan,Chennai,2011,Diesel,Manual,First
Maruti,Mumbai,2015,Diesel,Manual,First
Ford,Pune,2012,Diesel,Manual,First
Maruti,Kolkata,2003,Petrol,Manual,First
Mini,Pune,2017,Petrol,Manual,First
Toyota,Kolkata,2014,Diesel,Manual,First
Maruti,Kolkata,2018,Petrol,Manual,First
Maruti,Bangalore,2011,Petrol,Manual,Third
BMW,Bangalore,2009,Diesel,Automatic,Second
Nissan,Mumbai,2015,Petrol,Automatic,Second
Hyundai,Coimbatore,2015,Petrol,Automatic,First
Maruti,Hyderabad,2017,Diesel,Manual,First
Audi,Mumbai,2008,Diesel,Automatic,Third
Mercedes-Benz,Chennai,2015,Diesel,Automatic,First
Maruti,Chennai,2007,Petrol,Manual,Third
Renault,Chennai,2015,Diesel,Manual,Second
Toyota,Mumbai,2017,Diesel,Manual,First
Mercedes-Benz,Chennai,2014,Diesel,Manual,First
Maruti,Hyderabad,2010,Diesel,Manual,Second
Honda,Kochi,2017,Petrol,Automatic,First
Hyundai,Kochi,2015,Diesel,Manual,First
Mercedes-Benz,Jaipur,2014,Diesel,Automatic,First
Mercedes-Benz,Kochi,2014,Petrol,Automatic,Second
Mercedes-Benz,Bangalore,2017,Diesel,Automatic,First
Honda,Mumbai,2016,Petrol,Manual,First
Hyundai,Hyderabad,2007,Petrol,Manual,First
Honda,Chennai,2011,Petrol,Manual,First
Hyundai,Pune,2010,Petrol,Manual,First
Jaguar,Mumbai,2017,Petrol,Automatic,First
Honda,Delhi,2015,Petrol,Manual,First
Mini,Bangalore,2015,Petrol,Automatic,First
Mercedes-Benz,Coimbatore,2017,Diesel,Automatic,First
Hyundai,Chennai,2014,Petrol,Manual,First
Maruti,Kolkata,2014,Petrol,Manual,First
Maruti,Coimbatore,2011,Diesel,Manual,First
BMW,Chennai,2011,Diesel,Automatic,First
Tata,Pune,2014,Diesel,Manual,First
Audi,Chennai,2014,Diesel,Automatic,First
Land Rover,Hyderabad,2012,Diesel,Automatic,First
Mercedes-Benz,Pune,2010,Diesel,Automatic,Second
Mitsubishi,Hyderabad,2018,Diesel,Automatic,First
Maruti,Jaipur,2010,Petrol,Manual,First
Maruti,Pune,2013,Petrol,Manual,First
Land Rover,Coimbatore,2017,Diesel,Automatic,First
Hyundai,Pune,2011,Petrol,Manual,Second
BMW,Hyderabad,2013,Diesel,Automatic,First
Jaguar,Bangalore,2013,Diesel,Automatic,First
Skoda,Hyderabad,2010,Petrol,Automatic,First
Audi,Kochi,2017,Diesel,Automatic,First
Land Rover,Coimbatore,2014,Diesel,Automatic,First
Mercedes-Benz,Jaipur,2013,Diesel,Automatic,First
Mahindra,Kochi,2017,Diesel,Manual,First
BMW,Mumbai,2015,Diesel,Automatic,First
Honda,Pune,2017,Petrol,Manual,First
Volvo,Chennai,2010,Diesel,Automatic,Second
Hyundai,Pune,2005,Petrol,Manual,First
Hyundai,Jaipur,2017,Petrol,Manual,First
Mercedes-Benz,Coimbatore,2018,Petrol,Automatic,First
Hyundai,Kolkata,2015,Petrol,Manual,Second
Hyundai,Kochi,2018,Petrol,Manual,First
Honda,Mumbai,2013,Petrol,Manual,First
Volkswagen,Kolkata,2010,Petrol,Manual,First
Audi,Mumbai,2016,Petrol,Automatic,First
Volkswagen,Hyderabad,2010,Diesel,Manual,First
Hyundai,Coimbatore,2017,Petrol,Manual,First
Mercedes-Benz,Mumbai,2011,Petrol,Automatic,Second
Mini,Mumbai,2014,Petrol,Automatic,First
Hyundai,Pune,2006,Petrol,Manual,Second
Toyota,Bangalore,2013,Diesel,Manual,First
Honda,Delhi,2014,Petrol,Manual,Second
Maruti,Coimbatore,2018,Petrol,Automatic,First
Skoda,Coimbatore,2012,Diesel,Automatic,First
Hyundai,Kochi,2018,Petrol,Manual,First
Renault,Coimbatore,2019,Diesel,Manual,First
BMW,Coimbatore,2011,Diesel,Automatic,First
Maruti,Kochi,2016,Petrol,Manual,First
Volvo,Bangalore,2015,Diesel,Automatic,Second
Maruti,Ahmedabad,2007,Petrol,Manual,First
Honda,Kolkata,2008,Petrol,Manual,First
Maruti,Kochi,2017,CNG,Manual,First
Chevrolet,Kolkata,2014,Petrol,Manual,First
Mahindra,Coimbatore,2016,Diesel,Manual,First
Hyundai,Coimbatore,2012,Petrol,Manual,First
Hyundai,Hyderabad,2014,Petrol,Manual,First
Hyundai,Coimbatore,2017,Petrol,Automatic,First
Volkswagen,Mumbai,2017,Petrol,Manual,Second
Honda,Pune,2008,Petrol,Automatic,Second
Tata,Hyderabad,2014,Diesel,Manual,First
Mahindra,Kochi,2013,Diesel,Manual,First
Hyundai,Coimbatore,2017,Petrol,Manual,First
Audi,Bangalore,2014,Diesel,Automatic,Second
Maruti,Chennai,2011,Petrol,Manual,Second
Mitsubishi,Chennai,2010,Petrol,Manual,Second
Toyota,Hyderabad,2015,Diesel,Manual,First
Maruti,Hyderabad,2016,Diesel,Manual,First
Maruti,Delhi,2018,Diesel,Manual,First
Audi,Coimbatore,2016,Diesel,Automatic,First
BMW,Bangalore,2016,Diesel,Automatic,First
Audi,Coimbatore,2016,Diesel,Automatic,First
Hyundai,Pune,2016,Petrol,Manual,First
Renault,Hyderabad,2012,Diesel,Manual,First
Hyundai,Pune,2016,Diesel,Manual,First
Ford,Delhi,2014,Diesel,Manual,First
Volkswagen,Hyderabad,2013,Petrol,Manual,First
Hyundai,Kolkata,2017,Diesel,Manual,First
Tata,Ahmedabad,2013,Diesel,Manual,First
Honda,Kolkata,2011,Petrol,Manual,First
Hyundai,Bangalore,2008,Petrol,Manual,Second
Toyota,Hyderabad,2012,Diesel,Manual,First
Maruti,Coimbatore,2017,Diesel,Manual,First
Toyota,Delhi,2013,Diesel,Manual,First
Ford,Chennai,2009,Petrol,Manual,Second
Mercedes-Benz,Kochi,2018,Petrol,Automatic,First
Mercedes-Benz,Chennai,2014,Diesel,Manual,First
Skoda,Kolkata,2012,Diesel,Manual,First
Hyundai,Delhi,2015,Petrol,Manual,First
Ford,Hyderabad,2018,Petrol,Manual,First
Skoda,Mumbai,2013,Petrol,Manual,First
Renault,Mumbai,2015,Diesel,Manual,Second
Land Rover,Delhi,2015,Diesel,Automatic,Second
Ford,Chennai,2011,Diesel,Manual,Second
Ford,Hyderabad,2008,Diesel,Automatic,Second
Toyota,Coimbatore,2017,Diesel,Manual,First
Volkswagen,Kolkata,2012,Diesel,Manual,First
Maruti,Jaipur,2011,Diesel,Manual,First
Nissan,Pune,2013,Diesel,Manual,First
Hyundai,Kolkata,2013,Diesel,Manual,First
BMW,Kolkata,2011,Petrol,Automatic,First
Mercedes-Benz,Pune,2017,Diesel,Automatic,First
Honda,Hyderabad,2004,Petrol,Automatic,First
Hyundai,Bangalore,2016,Diesel,Automatic,First
Hyundai,Jaipur,2010,Petrol,Manual,Second
Mercedes-Benz,Kochi,2016,Diesel,Automatic,First
Maruti,Jaipur,2014,Petrol,Manual,First
Skoda,Chennai,2006,Diesel,Manual,Second
Honda,Pune,2015,Petrol,Manual,First
Maruti,Chennai,2004,Petrol,Manual,First
Maruti,Kochi,2013,Petrol,Manual,First
Honda,Mumbai,2014,Petrol,Automatic,First
Maruti,Ahmedabad,2011,Petrol,Manual,First
Toyota,Mumbai,2008,Petrol,Automatic,Second
Chevrolet,Kochi,2012,Petrol,Manual,First
Toyota,Delhi,2017,Diesel,Automatic,First
Ford,Mumbai,2014,Diesel,Manual,First
Maruti,Hyderabad,2010,Diesel,Manual,Second
Mercedes-Benz,Pune,2010,Diesel,Automatic,First
Honda,Mumbai,2015,Petrol,Manual,Second
Hyundai,Mumbai,2017,Petrol,Manual,Second
Mahindra,Bangalore,2015,Diesel,Automatic,First
Skoda,Pune,2012,Petrol,Manual,Second
Hyundai,Hyderabad,2009,Petrol,Manual,First
Hyundai,Kochi,2019,Petrol,Manual,First
Mahindra,Delhi,2017,Diesel,Manual,First
Skoda,Pune,2013,Diesel,Manual,First
Renault,Coimbatore,2015,Diesel,Manual,First
BMW,Hyderabad,2011,Diesel,Automatic,First
Toyota,Coimbatore,2013,Petrol,Manual,First
Maruti,Ahmedabad,2012,Petrol,Manual,First
Hyundai,Chennai,2016,Petrol,Manual,First
Maruti,Jaipur,2014,Petrol,Manual,First
Land Rover,Coimbatore,2017,Diesel,Automatic,First
Chevrolet,Pune,2014,Petrol,Manual,First
Tata,Ahmedabad,2014,Petrol,Manual,Second
Audi,Coimbatore,2017,Diesel,Automatic,First
Mercedes-Benz,Kochi,2009,Diesel,Automatic,Second
Maruti,Kochi,2019,Petrol,Manual,First
Fiat,Coimbatore,2013,Petrol,Manual,First
Maruti,Kochi,2017,Petrol,Manual,First
Toyota,Hyderabad,2010,Diesel,Manual,First
Maruti,Mumbai,2014,Petrol,Manual,First
BMW,Coimbatore,2010,Petrol,Automatic,First
Maruti,Jaipur,2014,Petrol,Manual,First
Honda,Mumbai,2010,Petrol,Automatic,Second
Hyundai,Coimbatore,2013,Diesel,Manual,First
Tata,Jaipur,2005,Diesel,Manual,First
Mercedes-Benz,Kolkata,2010,Petrol,Automatic,Second
Maruti,Hyderabad,2011,Diesel,Manual,First
Ford,Hyderabad,2012,Diesel,Manual,First
Honda,Coimbatore,2015,Petrol,Automatic,First
Toyota,Delhi,2012,Diesel,Manual,First
Honda,Mumbai,2016,Petrol,Manual,First
